use_rep,CNMI,method,seed,sample
Banksy_emb_seed1,0.6173668654573035,Banksy,seed1,3
Banksy_emb_seed1,0.6875990388200082,Banksy,seed1,2
Banksy_emb_seed1,0.5830299657650523,Banksy,seed1,4
Banksy_emb_seed1,0.6666024291852619,Banksy,seed1,1
Banksy_emb_seed1,0.547213453054418,Banksy,seed1,5
Banksy_emb_seed2,0.5884116795546371,Banksy,seed2,4
Banksy_emb_seed2,0.5521971014837135,Banksy,seed2,5
Banksy_emb_seed2,0.6088302043858071,Banksy,seed2,3
Banksy_emb_seed2,0.6649996975308399,Banksy,seed2,1
Banksy_emb_seed2,0.6725664352489739,Banksy,seed2,2
Banksy_emb_seed3,0.575560404377662,Banksy,seed3,4
Banksy_emb_seed3,0.5566077501499249,Banksy,seed3,5
Banksy_emb_seed3,0.6154769067651927,Banksy,seed3,3
Banksy_emb_seed3,0.6648034388969517,Banksy,seed3,1
Banksy_emb_seed3,0.6758973668212668,Banksy,seed3,2
Banksy_emb_seed4,0.5484166192737301,Banksy,seed4,5
Banksy_emb_seed4,0.584925355046436,Banksy,seed4,4
Banksy_emb_seed4,0.6162051266643932,Banksy,seed4,3
Banksy_emb_seed4,0.6807017337076874,Banksy,seed4,2
Banksy_emb_seed4,0.6684266987551367,Banksy,seed4,1
Banksy_emb_seed5,0.552849259983465,Banksy,seed5,5
Banksy_emb_seed5,0.6762514440694387,Banksy,seed5,2
Banksy_emb_seed5,0.6327928316178562,Banksy,seed5,3
Banksy_emb_seed5,0.5899267553388771,Banksy,seed5,4
Banksy_emb_seed5,0.6689364878525716,Banksy,seed5,1
GraphST_emb_seed1,0.3743742444240681,GraphST,seed1,4
GraphST_emb_seed1,0.3135117724728702,GraphST,seed1,5
GraphST_emb_seed1,0.4711101649752164,GraphST,seed1,3
GraphST_emb_seed1,0.6180610521022233,GraphST,seed1,1
GraphST_emb_seed1,0.6002395451133324,GraphST,seed1,2
GraphST_emb_seed2,0.5719623600087258,GraphST,seed2,2
GraphST_emb_seed2,0.4980722279473077,GraphST,seed2,3
GraphST_emb_seed2,0.6262829318797168,GraphST,seed2,1
GraphST_emb_seed2,0.3683244118540059,GraphST,seed2,4
GraphST_emb_seed2,0.308571721468163,GraphST,seed2,5
GraphST_emb_seed3,0.4832100621359684,GraphST,seed3,3
GraphST_emb_seed3,0.3815423413513418,GraphST,seed3,4
GraphST_emb_seed3,0.6404545890508578,GraphST,seed3,1
GraphST_emb_seed3,0.5935305350274656,GraphST,seed3,2
GraphST_emb_seed3,0.3218684394068137,GraphST,seed3,5
GraphST_emb_seed4,0.5981913194293713,GraphST,seed4,2
GraphST_emb_seed4,0.3744443648474058,GraphST,seed4,4
GraphST_emb_seed4,0.3069138195670554,GraphST,seed4,5
GraphST_emb_seed4,0.6479316561051776,GraphST,seed4,1
GraphST_emb_seed4,0.4829692084425424,GraphST,seed4,3
GraphST_emb_seed5,0.3763249183454503,GraphST,seed5,4
GraphST_emb_seed5,0.3310583328762775,GraphST,seed5,5
GraphST_emb_seed5,0.49326609223734,GraphST,seed5,3
GraphST_emb_seed5,0.5797800779914757,GraphST,seed5,2
GraphST_emb_seed5,0.6361417577335152,GraphST,seed5,1
Our_emb_seed1,0.6766936524846727,Glimmer,seed1,1
Our_emb_seed1,0.6831945227347804,Glimmer,seed1,2
Our_emb_seed1,0.5161917178104063,Glimmer,seed1,3
Our_emb_seed1,0.5076294538725921,Glimmer,seed1,5
Our_emb_seed1,0.4917679105753192,Glimmer,seed1,4
Our_emb_seed2,0.637544813516231,Glimmer,seed2,2
Our_emb_seed2,0.5257732979812778,Glimmer,seed2,3
Our_emb_seed2,0.6774642150383103,Glimmer,seed2,1
Our_emb_seed2,0.51463400752721,Glimmer,seed2,5
Our_emb_seed2,0.4844449661992397,Glimmer,seed2,4
Our_emb_seed3,0.5308866484127495,Glimmer,seed3,3
Our_emb_seed3,0.5034649856944905,Glimmer,seed3,4
Our_emb_seed3,0.6736361494153519,Glimmer,seed3,1
Our_emb_seed3,0.5183393380451838,Glimmer,seed3,5
Our_emb_seed3,0.6199018764300296,Glimmer,seed3,2
Our_emb_seed4,0.5362410713939546,Glimmer,seed4,3
Our_emb_seed4,0.6976681778409322,Glimmer,seed4,1
Our_emb_seed4,0.6378653880479885,Glimmer,seed4,2
Our_emb_seed4,0.5031937750345767,Glimmer,seed4,5
Our_emb_seed4,0.4981310250807886,Glimmer,seed4,4
Our_emb_seed5,0.5066881716504777,Glimmer,seed5,5
Our_emb_seed5,0.6752005560016329,Glimmer,seed5,1
Our_emb_seed5,0.4979238253819919,Glimmer,seed5,4
Our_emb_seed5,0.6282540555193759,Glimmer,seed5,2
Our_emb_seed5,0.5377247076501989,Glimmer,seed5,3
SCANIT_emb_seed1,0.6583624160408383,SCANIT,seed1,1
SCANIT_emb_seed1,0.671791352999733,SCANIT,seed1,2
SCANIT_emb_seed1,0.5862550598159295,SCANIT,seed1,3
SCANIT_emb_seed1,0.5443287195156437,SCANIT,seed1,4
SCANIT_emb_seed1,0.5328720434551018,SCANIT,seed1,5
SCANIT_emb_seed2,0.5808637492722958,SCANIT,seed2,5
SCANIT_emb_seed2,0.6024256173418824,SCANIT,seed2,3
SCANIT_emb_seed2,0.669884591129916,SCANIT,seed2,2
SCANIT_emb_seed2,0.6689066666666452,SCANIT,seed2,1
SCANIT_emb_seed2,0.5936846363020211,SCANIT,seed2,4
SCANIT_emb_seed3,0.6879486178105715,SCANIT,seed3,2
SCANIT_emb_seed3,0.6879194887261207,SCANIT,seed3,1
SCANIT_emb_seed3,0.5698941924430854,SCANIT,seed3,5
SCANIT_emb_seed3,0.5915042346495158,SCANIT,seed3,3
SCANIT_emb_seed3,0.5542946205199648,SCANIT,seed3,4
SCANIT_emb_seed4,0.5266814684503479,SCANIT,seed4,5
SCANIT_emb_seed4,0.6023194602025664,SCANIT,seed4,3
SCANIT_emb_seed4,0.5596209017363657,SCANIT,seed4,4
SCANIT_emb_seed4,0.6457819526748744,SCANIT,seed4,2
SCANIT_emb_seed4,0.665633917538441,SCANIT,seed4,1
SCANIT_emb_seed5,0.6885967511572549,SCANIT,seed5,1
SCANIT_emb_seed5,0.5761275842589344,SCANIT,seed5,3
SCANIT_emb_seed5,0.5376067170874753,SCANIT,seed5,4
SCANIT_emb_seed5,0.6829421578357363,SCANIT,seed5,2
SCANIT_emb_seed5,0.5353289881225732,SCANIT,seed5,5
SpaceFlow_emb_seed1,0.6077419019252075,SpaceFlow,seed1,4
SpaceFlow_emb_seed1,0.6967335471294408,SpaceFlow,seed1,2
SpaceFlow_emb_seed1,0.6922832181906002,SpaceFlow,seed1,1
SpaceFlow_emb_seed1,0.6204097133654434,SpaceFlow,seed1,5
SpaceFlow_emb_seed1,0.6358009389107419,SpaceFlow,seed1,3
SpaceFlow_emb_seed2,0.6524713243622308,SpaceFlow,seed2,3
SpaceFlow_emb_seed2,0.6234907965120169,SpaceFlow,seed2,4
SpaceFlow_emb_seed2,0.6861268288033604,SpaceFlow,seed2,1
SpaceFlow_emb_seed2,0.6011883765508418,SpaceFlow,seed2,5
SpaceFlow_emb_seed2,0.7157472158862673,SpaceFlow,seed2,2
SpaceFlow_emb_seed3,0.6890210981078732,SpaceFlow,seed3,2
SpaceFlow_emb_seed3,0.6238264533893814,SpaceFlow,seed3,5
SpaceFlow_emb_seed3,0.6070783405017602,SpaceFlow,seed3,4
SpaceFlow_emb_seed3,0.6481767551064911,SpaceFlow,seed3,1
SpaceFlow_emb_seed3,0.6716861593604787,SpaceFlow,seed3,3
SpaceFlow_emb_seed4,0.6482422378204443,SpaceFlow,seed4,3
SpaceFlow_emb_seed4,0.5926953560811201,SpaceFlow,seed4,5
SpaceFlow_emb_seed4,0.7095859957116906,SpaceFlow,seed4,2
SpaceFlow_emb_seed4,0.6461020375381954,SpaceFlow,seed4,4
SpaceFlow_emb_seed4,0.6589084736878457,SpaceFlow,seed4,1
SpaceFlow_emb_seed5,0.7155047666341957,SpaceFlow,seed5,2
SpaceFlow_emb_seed5,0.6055652351709016,SpaceFlow,seed5,5
SpaceFlow_emb_seed5,0.6382685883531931,SpaceFlow,seed5,3
SpaceFlow_emb_seed5,0.7463172644581668,SpaceFlow,seed5,1
SpaceFlow_emb_seed5,0.622540881534462,SpaceFlow,seed5,4
SPIN_emb_seed1,0.6488743877731883,SPIN,seed1,3
SPIN_emb_seed1,0.6295869535888903,SPIN,seed1,4
SPIN_emb_seed1,0.6086718648965957,SPIN,seed1,1
SPIN_emb_seed1,0.5726681477003572,SPIN,seed1,5
SPIN_emb_seed1,0.6451922124620911,SPIN,seed1,2
SPIN_emb_seed2,0.5752115558140883,SPIN,seed2,5
SPIN_emb_seed2,0.6346628588422129,SPIN,seed2,2
SPIN_emb_seed2,0.6319860102086476,SPIN,seed2,3
SPIN_emb_seed2,0.6095472387565232,SPIN,seed2,4
SPIN_emb_seed2,0.6307527823578625,SPIN,seed2,1
SPIN_emb_seed3,0.621656349337589,SPIN,seed3,3
SPIN_emb_seed3,0.6145748138156362,SPIN,seed3,2
SPIN_emb_seed3,0.59598359538864,SPIN,seed3,4
SPIN_emb_seed3,0.6163223146212375,SPIN,seed3,5
SPIN_emb_seed3,0.6126706790782916,SPIN,seed3,1
SPIN_emb_seed4,0.6195250942588271,SPIN,seed4,2
SPIN_emb_seed4,0.6149432628201359,SPIN,seed4,4
SPIN_emb_seed4,0.6429745980429525,SPIN,seed4,3
SPIN_emb_seed4,0.5640838067565396,SPIN,seed4,5
SPIN_emb_seed4,0.6345428744258558,SPIN,seed4,1
SPIN_emb_seed5,0.6586896182783726,SPIN,seed5,2
SPIN_emb_seed5,0.6433753610775006,SPIN,seed5,1
SPIN_emb_seed5,0.5765085256443404,SPIN,seed5,5
SPIN_emb_seed5,0.6071564669639334,SPIN,seed5,3
SPIN_emb_seed5,0.5755779622537499,SPIN,seed5,4
